"source","target"
"keys","apc"
"CREATE_MANAGER","خترع مدرب"
"MANAGER","مدرب"
"NAME","اسم"
"SURNAME","عيلة"
"YOUR_NAME","اسمك"
"YOUR_SURNAME","عيلتك"
"PLAYER_NAMES","اسامي اللعيبة"
"BIRTH_DATE","تاريخ الولادة"
"START_YEAR","أول سنة"
"FAV_TEAM","فريقك المفضل"
"NATIONALITY","جنسية"
"BACK","رجاع"
"CONTINUE","كفّي"
"CANCEL","كنسِل"
"FIELD","ملعب"
"STATS","ستات"
"POSSESSION","استحواذ"
"SHOTS","شوطات"
"SHOTS_ON_TARGET","شوطات عال هدف"
"FOULS","فاولات"
"FREE_KICKS","فري كيكات"
"PAUSE","پوز"
"PENALTIES","پنالتيز (6 متر)"
"PENALTIES_10M","پنالتيز (10 متر)"
"TACKLES","تاكيلات"
"TACKLES_SUCCESS","تاكيلات ناجحة"
"PASSES","پاسات"
"PASSES_SUCCESS","پاسات ناجحة"
"KICK_INS","كيك إنز"
"CORNERS","شوطات عال كورنر"
"YELLOW_CARDS","كروتة صفرا"
"RED_CARDS","كروتة حمرا"
"SIMULATE",""
"EVENTS","إڤانتات"
"TACTICS","تاكتيكات"
"FORMATION","پوزيسيونات"
"COMMENTARY","تعليق"
"CHANGE_STRATEGY","غيّر الإستراتيجية"
"AUTO","أوتوماتيكي"
"MANUAL","يدوي"
"START","بلّش"
"CALENDAR","رزنامة"
"TABLE","تابلو"
"EMAIL","إي-مايل"
"SEARCH_PLAYER","نبش اللاعب"
"MENU","منيو"
"SETTINGS","سَتِنگز"
"START_MATCH","بلّش الماتش"
"NEXT_DAY","اليوم اللي بعده"
"NEXT_MATCH","الماتش اللي بعده"
"WELCOME","اهلا و سهلا"
"MALE","دكر"
"FEMALE","أنثى"
"MIXED","مدموج"
"WORLD","العالم"
"CONTINENTS","قارات"
"ITALY","إيطاليا"
"SPAIN","إسپانيا"
"ROMANIA","رومانيا"
"NEW_GAME","لعبة جديدة"
"LOAD_GAME","عوز اللعبة"
"DARK","غامق"
"LIGHT","فاتح"
"SOLARIZED_LIGHT","فاتح و مشمس"
"SOLARIZED_DARK","غامق و مشمس"
"HACKER","هاكر"
"RED","أحمر"
"CUSTOM","مخصص"
"DEFAULT_SETTINGS","الستنگز الافتراضية"
"THEME","اللون"
"RESOLUTION","جودة"
"VERSION","نسخة"
"DELETE","محّي"
"TEAM","فريق"
"TABLE_PLACEMENT","محل التبلو"
"LAST_SAVE","آخر تسيّڤة"
"CREATED","نعمل"
"GAME_DATE","التريخ اللي بال لعبة"
"STAR","علمه ب نجمة"
"SUBJECT","الموضوع"
"FROM","من"
"TO","ل"
"DATE","تاريخ"
"UNREAD","مش منقرا"
"STARRED","معلم ب نجمة"
"SEARCH","نبّش"
"INFO","معلومات"
"PLAYERS","اللاعيبة"
"PLAYER","لاعب"
"SEED","سْيِدْ"
"START_DATE","اليوم الأول"
"COPY","كوپي"
"MONDAY","التنين"
"TUESDAY","التلاتا"
"WEDNESDAY","الأربعا"
"THURSDAY","الخميس"
"FRIDAY","الجمعة"
"SATURDAY","السبت"
"SUNDAY","الأحد"
"MON","تنين"
"TUE","تلاتا"
"WED","أربعا"
"THU","خميس"
"FRI","جمعة"
"SAT","سبت"
"SUN","أحد"
"JANUARY","كانون التاني"
"FEBRUARY","شباط"
"MARCH","أدار"
"APRIL","نيسان"
"MAY","أيار"
"JUNE","حزيران"
"JULY","تموز"
"AUGUST","آب"
"SEPTEMBER","أيلول"
"OCTOBER","تشرين الأول"
"NOVEMBER","تشرين التاني"
"DICEMBER","كانون الأول"
"JAN","كـ2"
"FEB","شباط"
"MAR","أدار"
"APR","نيسان"
"JUN","حزيران"
"JUL","تموز"
"AUG","آب"
"SEP","أيلول"
"OCT","تـ1"
"NOV","تـ2"
"DEC","كـ1"
"GENERATION_SEED","السيد تبع الإختراع"
"GENERATION_SEED_DESCRIPTION",""
"PLAYED","نلَعب من قبل"
"WIN","ربح"
"DRAW","تعادل"
"LOOSE","خسارة"
"GOALS","گولات"
"GOALS_AGAINST","گولات تجاهك"
"POINTS","نقات"
"TACTIC_OFFENSE","تكتيك الهجوم"
"TACTIC_DEFENSE","تكتيك الدفاع"
"INTENSITY","القوة"
"MARKING","التغطية"
"PRESSING","الضغط"
"CUT_INSIDE","بفوت ل جوا"
"ROTATION","تدوير"
"ZONE","زون"
"FULL_COURT","ملعب كامل"
"HALF_COURT","نُص ملعب"
"NO_PRESS","بلا ضغط"
"SUBS","بديل"
"REST","راحة"
"ALL_POS","كل الپوزيسيونات"
"G","حارس"
"DL","دفاع شمال"
"DR","دفاع يمين"
"DC","دفاع نُص"
"C","نٌص"
"WL","جنح شمال"
"WR","جنح يمين"
"PL","هجوم شمال"
"PR","هجوم يمين"
"PC","هجوم نٌص"
"ALL_LEAGUES","كل الليگات"
"ALL_TEAMS","كل الفُرق"
"LOADING_GAME","لودينگ…"
"SAVING_GAME","عم من سيّڤ لعبتك…"
"EXIT","ضهار"
"RANDOM","عشوائي"
"DEFAULT","افتراضي"
"INITIALIZE_GAME","عم من جهّزلك لعبتك…"
"GENERATING_PLAYERS","عم نخترعلك اللعيبة…"
"SELECT","نقي"
"BUDGET","ميزانيّة"
"SALARY_BUDGET","ميزانية الرواتب"
"STADIUM",""
"PRESTIGE",""
"POSITION",""
"VALUE",""
"SCALE",""
"GENERAL_SETTINGS",""
"INPUT_SETTINGS",""
"NO_JOYPAD_CONNECTED",""
"INTERFACE_SETTINGS",""
"THEMES",""
"FONT_COLOR",""
"BUTTONS_COLOR",""
"BACKGROUND_COLOR",""
"VIM_MODE",""
"CHANGE",""
"PERSONS",""
"YEAR",""
"COMPETITIONS",""
"TODAY",""
"NO_MATCH",""
"TRANSFERMARKET",""
"NO_TEAM_FOUND",""
"NO_COMPETITION_FOUND",""
"YES",""
"NO",""
"EXIT_GAME",""
"RESTORE_DEFAULTS",""
"RESTORE_DEFAULTS_TEXT",""
"SAVE_TEXT",""
"PLAYER_SETTINGS",""
"CHOOSE_TEAM",""
"SAVE_STATES",""
"FINANCES",""
"WATCHLIST",""
"SCOUTS",""
"SCOUT",""
"JOBS",""
"HALL_OF_FAME",""
"HOME",""
"AWAY",""
"GAME_SETTINGS",""
"WORST",""
"BAD ",""
"NEUTRAL",""
"GOOD",""
"BEST",""
"INJURED",""
"RECOVER",""
"MAKE_OFFER",""
"TRANSFERLIST",""
"SCREEN_FADE_ANIMATION",""
"MORALITY",""
"NATION",""
"GENERAL",""
"PHYSICAL",""
"PACE",""
"ACCELERATION",""
"STAMINA",""
"STRENGTH",""
"AGILITY",""
"JUMP",""
"TECHNICAL",""
"CROSSING",""
"PASSING",""
"LONG_PASSING",""
"TACKLING",""
"HEADING",""
"INTERCEPTION",""
"SHOOTING",""
"LONG_SHOOTING",""
"PENALTY",""
"FINISHING",""
"DRIBBLING",""
"BLOCKING",""
"MENTAL",""
"AGGRESSION",""
"ANTICIPATION",""
"DECISIONS",""
"CONCENTRATION",""
"TEAMWORK",""
"VISION",""
"WORK_RATE",""
"OFFENSIVE_MOVEMENT",""
"GOALKEEPER",""
"ACTION",""
"AGE",""
"AGENT",""
"AMOUNT",""
"ATTACK",""
"ATTRIBUTES",""
"AUDIO",""
"BACKUP",""
"BITCOIN",""
"BLOCK",""
"BUY",""
"CENTER",""
"CITY",""
"COMPETITION",""
"CONFIRM",""
"CONTRACT",""
"CONTINENT",""
"NOTES",""
