"context","target"
"keys","ua"
"CREATE_MANAGER","Створити менеджера"
"MANAGER","Менеджер"
"NAME","Ім'я"
"SURNAME","Прізвище"
"YOUR_NAME","Ваше ім'я"
"YOUR_SURNAME","Ваше прізвище"
"PLAYER_NAMES","Імена гравців"
"BIRTH_DATE","Дата народження"
"START_YEAR","Рік початку"
"FAV_TEAM","Улюблена команда"
"NATIONALITY","Національність"
"BACK","Назад"
"CONTINUE","Продовжити"
"CANCEL","Скасувати"
"FIELD","Поле"
"STATS","Статистика"
"POSSESSION","Власність"
"SHOTS","Удари"
"SHOTS_ON_TARGET","Удари по цілі"
"FOULS","Порушення"
"FREE_KICKS","Штрафні удари"
"PAUSE","Пауза"
"PENALTIES","Пенальті (6 м)"
"PENALTIES_10M","Пенальті (10 м)"
"TACKLES","Підкати"
"TACKLES_SUCCESS","Успішні підкати"
"PASSES","Паси"
"PASSES_SUCCESS","Успішні паси"
"KICK_INS","Введення м'яча"
"CORNERS","Кутові удари"
"YELLOW_CARDS","Жовта картка"
"RED_CARDS","Червона картка"
"SIMULATE","Імітувати"
"EVENTS","Події"
"TACTICS","Тактики"
"FORMATION","Формування"
"COMMENTARY","Коментарі"
"CHANGE_STRATEGY","Змінити стратегію"
"AUTO","Автоматично"
"MANUAL","Посібник"
"START","Почати"
"CALENDAR","Календар"
"TABLE","Таблиця"
"EMAIL","Пошта"
"SEARCH_PLAYER","Знайти гравця"
"MENU","Меню"
"SETTINGS","Налаштування"
"START_MATCH","Почати матч"
"NEXT_DAY","Наступний день"
"NEXT_MATCH","Наступний матч"
"WELCOME","Вітаємо"
"MALE","Чоловік"
"FEMALE","Жінка"
"MIXED","Змішаний"
"WORLD","Світ"
"CONTINENTS","Континенти"
"ITALY","Італія"
"SPAIN","Іспанія"
"ROMANIA","Романія"
"NEW_GAME","Нова гра"
"LOAD_GAME","Завантажити гру"
"DARK","Темна"
"LIGHT","Світла"
"SOLARIZED_LIGHT","Соляризована світла"
"SOLARIZED_DARK","Соляризована темна"
"HACKER","Хакерська"
"RED","Червона"
"CUSTOM","Власна"
"DEFAULT_SETTINGS","Типові налаштування"
"THEME","Тема"
"RESOLUTION","Роздільність"
"VERSION","Версія"
"DELETE","Видалити"
"TEAM","Команда"
"TABLE_PLACEMENT","Розміщення на таблиці"
"LAST_SAVE","Останнє збереження"
"CREATED","Створено"
"GAME_DATE","Дата у грі"
"STAR","Обране"
"SUBJECT","Тема"
"FROM","Від"
"TO","До"
"DATE","Дата"
"UNREAD","Непрочитане"
"STARRED","Додано в обране"
"SEARCH","Пошук"
"INFO","Інформація"
"PLAYERS","Гравці"
"PLAYER","Гравець"
"SEED","Сіяти"
"START_DATE","Дата початку"
"COPY","Копіювати"
"MONDAY","Понеділок"
"TUESDAY","Вівторок"
"WEDNESDAY","Середа"
"THURSDAY","Четвер"
"FRIDAY","П'ятниця"
"SATURDAY","Субота"
"SUNDAY","Неділя"
"MON","Пн"
"TUE","Вт"
"WED","Ср"
"THU","Чт"
"FRI","Пт"
"SAT","Сб"
"SUN","Нд"
"JANUARY","Січень"
"FEBRUARY","Лютий"
"MARCH","Березень"
"APRIL","Квітень"
"MAY",""
"JUNE","Червень"
"JULY","Липень"
"AUGUST","Серпень"
"SEPTEMBER","Вересень"
"OCTOBER","Жовтень"
"NOVEMBER","Листопад"
"DICEMBER","Грудень"
"JAN","Січ"
"FEB","Лют"
"MAR","Бер"
"APR","Квіт"
"MAY","Травень"
"JUN","Чер"
"JUL","Лип"
"AUG","Серп"
"SEP","Вер"
"OCT","Жовт"
"NOV","Лист"
"DEC","Груд"
"GENERATION_SEED","Код покоління"
"GENERATION_SEED_DESCRIPTION","GENERATION_SEED_DESCRIPTION"
"PLAYED","Зіграно"
"WIN","Перемога"
"DRAW","Нічия"
"LOOSE","Поразка"
"GOALS","Голи"
"GOALS_AGAINST","Пропущені голи"
"POINTS","Очки"
"TACTIC_OFFENSE","Наступальна тактика"
"TACTIC_DEFENSE","Захисна тактика"
"INTENSITY","Інтенсивність"
"MARKING","Позначення"
"PRESSING","Пресинг"
"CUT_INSIDE","Відділити зсередини"
"ROTATION","Обертання"
"ZONE","Зона"
"FULL_COURT","Усе поле"
"HALF_COURT","Пів поля"
"NO_PRESS","Без пресингу"
"SUBS","Заміна"
"REST","Відпочити"
"ALL_POS","Усі позиції"
"G","G"
"DL",""
"DR",""
"DC",""
"C",""
"WL",""
"WR",""
"PL",""
"PR",""
"PC",""
"ALL_LEAGUES","Усі ліги"
"ALL_TEAMS","Усі команди"
"LOADING_GAME","Завантажуємо вашу гру…"
"SAVING_GAME","Зберігаємо вашу гру…"
"EXIT","Вийти"
"RANDOM","Випадково"
"DEFAULT","Типово"
"INITIALIZE_GAME","Запуск гри…"
"GENERATING_PLAYERS","Створення всіх гравців…"
"SELECT","Вибрати"
"BUDGET","Бюджет"
"SALARY_BUDGET","Бюджет на зарплату"
"STADIUM","Стадіон"
"PRESTIGE","Престиж"
"POSITION","Позиція"
"VALUE","Значення"
"SCALE","Масштаб"
"GENERAL_SETTINGS","Загальні"
"INPUT_SETTINGS","Пристрій введення"
"NO_JOYPAD_CONNECTED","Геймпад не під'єднано"
"INTERFACE_SETTINGS","Інтерфейс"
"THEMES","Теми"
"FONT_COLOR","Колір шрифту"
"BUTTONS_COLOR","Колір кнопок"
"BACKGROUND_COLOR","Колір тла"
"VIM_MODE",""
"CHANGE","Змінити"
"PERSONS","Особи"
"YEAR","Рік"
"COMPETITIONS","Змагання"
"TODAY","Сьогодні"
"NO_MATCH","Немає матчів"
"TRANSFERMARKET","Ринок гравців"
"NO_TEAM_FOUND","Команду не знайдено"
"NO_COMPETITION_FOUND","Конкурентів не знайдено"
